train_step,train_loss,val_step,val_loss,val_rmse
1,0.4637382924556732,300.0,0.19690642233139702,0.6347303728735636
2,0.3942753076553345,600.0,0.11172370945606085,0.41905761705267996
3,0.6140258312225342,900.0,0.09203169153105202,0.3681784349951952
4,0.20137731730937958,1200.0,0.041107392327311185,0.2366268728667545
5,0.6288147568702698,1500.0,0.028761334589771217,0.19650990178897268
6,0.2245599627494812,1800.0,0.023145042627826722,0.17235040422233325
7,0.5534555315971375,2100.0,0.015897547886226444,0.15208607270485824
8,0.22689619660377502,2400.0,0.015697258987486185,0.14787135654616923
9,0.512784481048584,2700.0,0.014418187653756746,0.14204758571253884
10,1.3145296573638916,3000.0,0.012761896355576547,0.13362424459958833
11,0.31197574734687805,3300.0,0.01391450103466692,0.1396344349024788
12,0.5931419134140015,3600.0,0.01565879746224724,0.1465424851972669
13,0.17114987969398499,3900.0,0.009256298145619296,0.11792459522211363
14,0.21956866979599,4200.0,0.008196691036573611,0.107076984638023
15,0.5677275657653809,4500.0,0.006042559255128874,0.09488699350151278
16,0.546131432056427,4800.0,0.004775279332303427,0.08416464024533828
17,0.6291767954826355,5100.0,0.005493890975591808,0.08785850361048703
18,0.26544639468193054,5400.0,0.004148713161518413,0.07668335813408096
19,0.04984753578901291,5700.0,0.0036675849128403656,0.07175596142631202
20,1.0579472780227661,6000.0,0.004024945634661154,0.0759175865511809
21,0.18658755719661713,6300.0,0.0038757297176440866,0.07392889856996518
22,0.2173561006784439,,,
23,0.4136587679386139,,,
24,0.13814163208007812,,,
25,0.2450578510761261,,,
26,0.11477240920066833,,,
27,1.1038942337036133,,,
28,0.9240825772285461,,,
29,0.29275086522102356,,,
30,0.6053791642189026,,,
31,0.1078980565071106,,,
32,0.09478142112493515,,,
33,0.08291733264923096,,,
34,0.43671754002571106,,,
35,0.11303813755512238,,,
36,0.08125227689743042,,,
37,0.12095066905021667,,,
38,0.06752555817365646,,,
39,0.10760840773582458,,,
40,0.10296577215194702,,,
41,0.053936801850795746,,,
42,0.18745024502277374,,,
43,0.3804193139076233,,,
44,0.3313851058483124,,,
45,0.36127254366874695,,,
46,0.5189704298973083,,,
47,1.014193058013916,,,
48,0.2462792545557022,,,
49,0.6126362085342407,,,
50,0.16435497999191284,,,
51,0.6327351927757263,,,
52,0.6568989753723145,,,
53,0.11131588369607925,,,
54,1.4467523097991943,,,
55,0.05161241814494133,,,
56,0.06803352385759354,,,
57,0.5683988332748413,,,
58,0.10613492876291275,,,
59,0.434937059879303,,,
60,0.31792086362838745,,,
61,0.36871373653411865,,,
62,0.1547863930463791,,,
63,0.21409069001674652,,,
64,0.087429478764534,,,
65,0.4241790175437927,,,
66,0.609380304813385,,,
67,0.8623127341270447,,,
68,0.09798204153776169,,,
69,0.0920444056391716,,,
70,0.2592189311981201,,,
71,0.2028244137763977,,,
72,0.45840170979499817,,,
73,0.1861458718776703,,,
74,1.0602309703826904,,,
75,0.2856930196285248,,,
76,0.04730786383152008,,,
77,0.8498570919036865,,,
78,0.3043869137763977,,,
79,0.4250360131263733,,,
80,0.39566734433174133,,,
81,0.08645837754011154,,,
82,0.714859127998352,,,
83,0.09396076202392578,,,
84,0.5200105905532837,,,
85,0.08377890288829803,,,
86,0.6073291897773743,,,
87,0.3036942481994629,,,
88,0.14109811186790466,,,
89,0.2791215479373932,,,
90,0.07972127199172974,,,
91,0.13981744647026062,,,
92,0.4127967357635498,,,
93,0.16681969165802002,,,
94,0.09729340672492981,,,
95,0.2961622178554535,,,
96,0.6915075778961182,,,
97,0.20505015552043915,,,
98,0.32990866899490356,,,
99,0.06413520872592926,,,
100,0.869570255279541,,,
101,0.10548563301563263,,,
102,0.29931381344795227,,,
103,0.1995084583759308,,,
104,0.1965080052614212,,,
105,0.12502270936965942,,,
106,0.40271854400634766,,,
107,0.4653524160385132,,,
108,0.507161557674408,,,
109,0.07915680855512619,,,
110,0.3313067853450775,,,
111,0.09469406306743622,,,
112,0.08662480115890503,,,
113,0.1573508232831955,,,
114,0.2611149847507477,,,
115,0.1763087809085846,,,
116,0.08114155381917953,,,
117,0.22301390767097473,,,
118,0.11416967213153839,,,
119,0.1594938486814499,,,
120,0.5758866667747498,,,
121,0.061511993408203125,,,
122,0.2251836210489273,,,
123,0.36944475769996643,,,
124,0.11742956936359406,,,
125,0.0344318263232708,,,
126,0.1237635463476181,,,
127,0.24863103032112122,,,
128,0.046434417366981506,,,
129,1.0789464712142944,,,
130,0.04678938537836075,,,
131,0.6886887550354004,,,
132,0.04053838551044464,,,
133,0.05451206862926483,,,
134,0.21454136073589325,,,
135,0.04445984214544296,,,
136,0.1872430443763733,,,
137,0.11246628314256668,,,
138,0.015203209593892097,,,
139,0.8785268664360046,,,
140,0.4985024333000183,,,
141,0.9777461290359497,,,
142,0.6447542905807495,,,
143,0.19919204711914062,,,
144,0.3441694676876068,,,
145,0.4958847761154175,,,
146,0.19326357543468475,,,
147,0.5696061849594116,,,
148,0.23521076142787933,,,
149,0.10020051896572113,,,
150,0.1855573207139969,,,
151,0.5906203985214233,,,
152,0.08731494098901749,,,
153,0.47919225692749023,,,
154,0.22803963720798492,,,
155,0.10296663641929626,,,
156,0.09748616814613342,,,
157,0.1583241969347,,,
158,0.31466174125671387,,,
159,0.17251436412334442,,,
160,0.785611629486084,,,
161,0.032196156680583954,,,
162,0.13879480957984924,,,
163,0.4665420949459076,,,
164,0.12653525173664093,,,
165,0.364238440990448,,,
166,0.10951091349124908,,,
167,0.01640641689300537,,,
168,0.13737992942333221,,,
169,0.12661612033843994,,,
170,1.525357723236084,,,
171,0.7706242203712463,,,
172,0.10365642607212067,,,
173,0.48509326577186584,,,
174,0.7972482442855835,,,
175,0.2857363224029541,,,
176,0.08874127268791199,,,
177,0.06194552034139633,,,
178,0.085824154317379,,,
179,0.07232216000556946,,,
180,0.4057003855705261,,,
181,0.09139306843280792,,,
182,0.0763142928481102,,,
183,0.11038089543581009,,,
184,0.24774853885173798,,,
185,0.39579060673713684,,,
186,0.31898146867752075,,,
187,0.7170250415802002,,,
188,0.4088844060897827,,,
189,0.36395901441574097,,,
190,0.0813586413860321,,,
191,0.4061214029788971,,,
192,0.570688009262085,,,
193,0.41749057173728943,,,
194,0.24636809527873993,,,
195,0.05515188351273537,,,
196,0.04040827602148056,,,
197,0.05716757848858833,,,
198,0.32515257596969604,,,
199,0.1300157904624939,,,
200,0.5988380908966064,,,
201,0.23857267200946808,,,
202,0.27235034108161926,,,
203,0.15870249271392822,,,
204,0.0430445522069931,,,
205,0.22018684446811676,,,
206,0.23924820125102997,,,
207,0.07479307055473328,,,
208,0.1662379801273346,,,
209,0.06355864554643631,,,
210,0.06367761641740799,,,
211,0.15675772726535797,,,
212,0.14408428966999054,,,
213,0.032025836408138275,,,
214,0.08104876428842545,,,
215,0.20354831218719482,,,
216,0.05662694573402405,,,
217,0.08811230957508087,,,
218,0.049798935651779175,,,
219,0.050324130803346634,,,
220,0.4767504334449768,,,
221,0.06256601214408875,,,
222,0.06060723215341568,,,
223,0.09087450802326202,,,
224,0.2358100414276123,,,
225,0.030965473502874374,,,
226,0.11918292939662933,,,
227,0.434241384267807,,,
228,0.036538735032081604,,,
229,0.06891217827796936,,,
230,0.29410362243652344,,,
231,0.5465076565742493,,,
232,0.26873838901519775,,,
233,0.16592605412006378,,,
234,0.11606624722480774,,,
235,0.26669952273368835,,,
236,0.5190855264663696,,,
